,img,bank,card_name,cashback_rate,cashback_cap,cashback_benchmark,category,cashback_from,cashback_till,cashback_weekends_only,cashback_monthly_basis,cashback_single_receipt
85,https://ringgitplus.com/img/card-400/5bd7cfde3d6823080f31967c/rhb-cash-back-visa-credit-card.jpg,rhb,rhb_cash_back_visa_credit_card,0.2,10000000000,from RM1 and above monthly,other spend,1.0,,False,True,False
86,https://ringgitplus.com/img/card-400/5bd7d7d0fea5d39b106cd0a5/rhb-islamic-cash-back-credit-card-i.jpg,rhb,rhb_islamic_cash_back_credit_card-i,0.2,10,from RM1 up to RM999 monthly,online food and grocery delivery,1.0,999.0,False,True,False
87,https://ringgitplus.com/img/card-400/5bd7d7d0fea5d39b106cd0a5/rhb-islamic-cash-back-credit-card-i.jpg,rhb,rhb_islamic_cash_back_credit_card-i,0.2,10,from RM1 up to RM999 monthly,"petrol, dining, utility and grocery",1.0,999.0,False,True,False
88,https://ringgitplus.com/img/card-400/5bd7d7d0fea5d39b106cd0a5/rhb-islamic-cash-back-credit-card-i.jpg,rhb,rhb_islamic_cash_back_credit_card-i,0.2,10000000000,from RM1 and above monthly,others spend,1.0,,False,True,False
89,https://ringgitplus.com/img/card-400/51c028adcd7c300920000004/rhb-visa-signature.jpg,rhb,rhb_visa_signature,6.0,30,"from RM3,500 and above monthly","local entertainment, shopping, online transactions",3500.0,,False,True,False
90,https://ringgitplus.com/img/card-400/51c028adcd7c300920000004/rhb-visa-signature.jpg,rhb,rhb_visa_signature,0.2,10000000000,"from RM1,000 and above monthly",other local retail spends,1000.0,,False,True,False
91,https://ringgitplus.com/img/card-400/51c028adcd7c300920000004/rhb-visa-signature.jpg,rhb,rhb_visa_signature,2.0,100,"from RM3,500 and above monthly",overseas retail spends,3500.0,,False,True,False
92,https://ringgitplus.com/img/card-400/5bd7d39d3d6823080f31967e/rhb-cash-back-mastercard-credit-card.jpg,rhb,rhb_cash_back_mastercard_credit_card,0.2,10,from RM1 up to RM999 monthly,online food and grocery delivery,1.0,999.0,False,True,False
93,https://ringgitplus.com/img/card-400/5bd7d39d3d6823080f31967e/rhb-cash-back-mastercard-credit-card.jpg,rhb,rhb_cash_back_mastercard_credit_card,0.2,10,from RM999 up to RM1 monthly,"petrol, dining, utility and grocery",1.0,999.0,False,True,False
94,https://ringgitplus.com/img/card-400/5bd7d39d3d6823080f31967e/rhb-cash-back-mastercard-credit-card.jpg,rhb,rhb_cash_back_mastercard_credit_card,0.2,10000000000,from RM1 and above monthly,other spend,1.0,,False,True,False
95,https://ringgitplus.com/img/card-400/56d94e05e7a1074832bdd147/rhb-world-mastercard-credit-card.jpg,rhb,rhb_world_mastercard_credit_card,6.0,30,"from RM3,500 and above monthly","local travel, petrol, dining transactions",3500.0,,False,True,False
96,https://ringgitplus.com/img/card-400/56d94e05e7a1074832bdd147/rhb-world-mastercard-credit-card.jpg,rhb,rhb_world_mastercard_credit_card,0.2,10000000000,"from RM1,000 and above monthly",other local retail spends,1000.0,,False,True,False
97,https://ringgitplus.com/img/card-400/56d94e05e7a1074832bdd147/rhb-world-mastercard-credit-card.jpg,rhb,rhb_world_mastercard_credit_card,2.0,100,"from RM3,500 and above monthly",overseas retail spends,3500.0,,False,True,False
98,https://ringgitplus.com/img/card-400/5e2a7b3f5d3abe251beebaa0/rhb-tokyo-2020-limited-edition-visa-cash-back-credit-card.jpg,rhb,rhb_tokyo_2020_limited_edition_visa_cash_back_credit_card,0.2,10,from RM1 up to RM999 monthly,online food and grocery delivery,1.0,999.0,False,True,False
99,https://ringgitplus.com/img/card-400/5e2a7b3f5d3abe251beebaa0/rhb-tokyo-2020-limited-edition-visa-cash-back-credit-card.jpg,rhb,rhb_tokyo_2020_limited_edition_visa_cash_back_credit_card,0.2,10,from RM1 up to RM999 monthly,"petrol, dining, utility and grocery",1.0,999.0,False,True,False
100,https://ringgitplus.com/img/card-400/5e2a7b3f5d3abe251beebaa0/rhb-tokyo-2020-limited-edition-visa-cash-back-credit-card.jpg,rhb,rhb_tokyo_2020_limited_edition_visa_cash_back_credit_card,0.2,10000000000,any amount monthly,other spend,0.0,,False,True,False
101,https://ringgitplus.com/img/card-400/5807030fe5881d466bf8f5df/rhb-world-mastercard-credit-card-i.jpg,rhb,rhb_world_mastercard_credit_card-i,6.0,30,"from RM3,500 and above monthly","local travel, petrol, dining transactions",3500.0,,False,True,False
102,https://ringgitplus.com/img/card-400/5807030fe5881d466bf8f5df/rhb-world-mastercard-credit-card-i.jpg,rhb,rhb_world_mastercard_credit_card-i,0.2,10000000000,"from RM1,000 and above monthly",other local retail spends,1000.0,,False,True,False
103,https://ringgitplus.com/img/card-400/5807030fe5881d466bf8f5df/rhb-world-mastercard-credit-card-i.jpg,rhb,rhb_world_mastercard_credit_card-i,2.0,100,"from RM3,500 and above monthly",overseas retail spends,3500.0,,False,True,False
104,https://ringgitplus.com/img/card-400/5225ba19b7354c7145000009/standard-chartered-justone-platinum-mastercard.jpg,standard_chartered,standard_chartered_justone_platinum_mastercard,15.0,30,"from RM2,500 and above monthly",online purchases,2500.0,,False,True,False
105,https://ringgitplus.com/img/card-400/5225ba19b7354c7145000009/standard-chartered-justone-platinum-mastercard.jpg,standard_chartered,standard_chartered_justone_platinum_mastercard,15.0,60,"from RM2,500 and above monthly",petrol and auto-bill payments,2500.0,,False,True,False
106,https://ringgitplus.com/img/card-400/5225ba19b7354c7145000009/standard-chartered-justone-platinum-mastercard.jpg,standard_chartered,standard_chartered_justone_platinum_mastercard,0.2,2,up to RM999 monthly,"petrol, online purchases and auto-bill payments",0.0,999.0,False,True,False
107,https://ringgitplus.com/img/card-400/5225ba19b7354c7145000009/standard-chartered-justone-platinum-mastercard.jpg,standard_chartered,standard_chartered_justone_platinum_mastercard,0.2,2,up to RM999 monthly,other retail spend,0.0,999.0,False,True,False
108,https://ringgitplus.com/img/card-400/5ca47660d42068390a2a4dcb/standard-chartered-liverpool-fc-cashback.jpg,standard_chartered,standard_chartered_liverpool_fc_cashback,5.0,50,"from RM2,000 and above monthly",all retail spends (excluding petrol and insurance),2000.0,,False,True,False
