,img,bank,card_name,point,category,each_spending
0,https://ringgitplus.com/img/card-400/5ab4a9dc2af8f39d1adf1434/aeon-platinum-visa.jpg,aeon,aeon_platinum_visa,4.0,for spending within aeon and aeon big stores,1
1,https://ringgitplus.com/img/card-400/5ab4a9dc2af8f39d1adf1434/aeon-platinum-visa.jpg,aeon,aeon_platinum_visa,3.0,"for petrol, overseas and dining transactions in the first year",1
2,https://ringgitplus.com/img/card-400/5ab4a9dc2af8f39d1adf1434/aeon-platinum-visa.jpg,aeon,aeon_platinum_visa,1.0,on other transactions,1
3,https://ringgitplus.com/img/card-400/5badee25bf72ec1126f9cb47/aeon-platinum-mastercard.jpg,aeon,aeon_platinum_mastercard,4.0,for spending within aeon and aeon big stores,1
4,https://ringgitplus.com/img/card-400/5badee25bf72ec1126f9cb47/aeon-platinum-mastercard.jpg,aeon,aeon_platinum_mastercard,3.0,"for petrol, overseas and dining transactions in the first year",1
5,https://ringgitplus.com/img/card-400/5badee25bf72ec1126f9cb47/aeon-platinum-mastercard.jpg,aeon,aeon_platinum_mastercard,1.0,for other transactions,1
6,https://ringgitplus.com/img/card-400/519489e2193821ed4a00000a/new-aeon-visa-gold.jpg,aeon,new_aeon_visa_gold,4.0,at aeon stores every 10th of the month,1
7,https://ringgitplus.com/img/card-400/519489e2193821ed4a00000a/new-aeon-visa-gold.jpg,aeon,new_aeon_visa_gold,2.0,at aeon stores everyday,1
8,https://ringgitplus.com/img/card-400/519489e2193821ed4a00000a/new-aeon-visa-gold.jpg,aeon,new_aeon_visa_gold,1.0,on other transactions,2
9,https://ringgitplus.com/img/card-400/519489e2193821ed4a000003/aeon-mastercard-gold.jpg,aeon,aeon_mastercard_gold,1.0,on retail spending,2
10,https://ringgitplus.com/img/card-400/519489e2193821ed4a000009/aeon-visa-gold.jpg,aeon,aeon_visa_gold,1.0,on retail spending,2
11,https://ringgitplus.com/img/card-400/519489e2193821ed4a000002/new-aeon-visa-classic.jpg,aeon,new_aeon_visa_classic,4.0,at aeon stores every 10th of the month,1
12,https://ringgitplus.com/img/card-400/519489e2193821ed4a000002/new-aeon-visa-classic.jpg,aeon,new_aeon_visa_classic,2.0,at aeon stores everyday,1
13,https://ringgitplus.com/img/card-400/519489e2193821ed4a000002/new-aeon-visa-classic.jpg,aeon,new_aeon_visa_classic,1.0,other and overseas transactions (except petrol and government department),2
14,https://ringgitplus.com/img/card-400/519489e2193821ed4a000004/new-aeon-mastercard-gold.jpg,aeon,new_aeon_mastercard_gold,4.0,at aeon stores every 10th of the month,1
15,https://ringgitplus.com/img/card-400/519489e2193821ed4a000004/new-aeon-mastercard-gold.jpg,aeon,new_aeon_mastercard_gold,2.0,at aeon stores,1
